
========== sheet=2019报价 rows=328 ==========
R   1  广东帝豪装饰集团巴中分公司（工程预算单） |  |  |  |  |  |  |  |  |  | 
R   2  工程名称：雅居 |  |  |  |  |  |  |  | 44593 |  | 
R   3  公司地址:巴中市黄家沟居然之家四楼2-4-009号                                        电话:0827-3888300 |  |  |  |  |  |  |  |  |  | 
R   4  序号 | 项目内容 | 数量 | 单位 | 材料 |  | 人工 |  | 施工工艺及材料说明 |  | 
R  23  15 | 叠级石膏板压边 |  | m | 26 |  | 17 |  | 石膏板叠级、人工及机具费。 |  | 
R  24  16 | 顶面半圆石膏线造型2公分 |  | M2 | 50 |  | 180 |  | 半圆石膏线拼接、快粘粉粘贴、直钉固定。2、人工及机具费。 |  | 
R  25  17 | 客厅顶面装饰木质雕花（大） |  | 个 | 155 |  | 175 |  | 欧松板框架结构、造型位置夹板框架、人工及机具费 |  | 
R  26  18 | 餐厅顶面装饰木质雕花（小） |  | 个 | 130 |  | 145 |  | 欧松板框架结构、造型位置夹板框架、人工及机具费 |  | 
R  27  19 | 天花贴木质线条 |  | M2 | 510 |  | 310 |  | 木龙骨框架结构，膨胀螺丝固定、夹板封面刷防潮油外贴木质线条。油漆另计。 |  | 
R  28  20 | 窗帘盒 |  | M | 70 |  | 25 |  | 欧松板、石膏板、辅料、人工及机具费。 |  | 
R  29  21 | 天花饰面留缝 |  | M2 | 260 |  | 180 |  | 木龙骨框架结构，膨胀螺丝固定，细木工板衬底外饰面贴饰、留缝工艺、辅料、人工及机具费。 |  | 
R  30  22 | 假梁装饰柱饰面 |  | M | 75 |  | 85 |  | １、欧松板框架结构，外贴3MM饰面板，拼角工艺。２、人工及机具费，油漆另计。 |  | 
R  31  23 | 拱弯弧形天花 |  | M2 | 160 |  | 185 |  | 1、木龙骨或轻钢龙骨框架，纸面石膏板封面、弧型处细木工板衬底,乳胶漆另计。2、人工及机具费。 |  | 
R  32  24 | 异形造型天花 |  | M2 | 205 |  | 105 |  | 木龙骨或轻钢龙骨框架，造型位置夹板框架、纸面石膏板封面(以展开面积计算)、弧型处夹板衬底、乳胶漆另计。 |  | 
R  33  25 | 石膏板平面天花 |  | M2 | 95 |  | 55 |  | 木龙骨或轻钢龙骨框架结构、膨胀螺丝固定、纸面石膏板封面（以展开面积计算)、乳胶漆另计 |  | 
R  34  26 | 双层石膏板 |  | M2 | 45 |  | 22 |  | 1、石膏板封面(以展开面积计算)、乳胶漆另计。2、加隔热棉，人工及机具费。 |  | 
R  35  27 | 欧松板顶面护墙基层 |  | M2 | 145 |  | 55 |  | 木龙骨或轻钢龙骨框架结构、膨胀螺丝固定、欧松板封面（以展开面积计算) |  | 
R  36  28 | 造型天花 |  | M2 | 125 |  | 65 |  | 木龙骨或轻钢龙骨框架，造型位置夹板框架、纸面石膏板封面(以展开面积计算)、弧型处夹板衬底、乳胶漆另计。 |  | 
R  37  29 | 弧形天花 |  | M2 | 145 |  | 85 |  | 1、木龙骨或轻钢龙骨框架，纸面石膏板封面、弧型处细木工板衬底,乳胶漆另计。2、人工及机具费。(以展开面积计算) |  | 
R  38  30 | 造型天花（加隔音棉） |  | M2 | 150 |  | 85 |  | 木龙骨或轻钢龙骨框架，造型位置夹板框架、纸面石膏板封面(以展开面积计算)、弧型处夹板衬底、乳胶漆另计。（内加隔音棉） |  | 
R  39  31 | 顶面弧形黑钛钢装饰条 |  | 个 | 78 |  | 45 |  | 欧松板打底、1公分弧形黑钛钢条安装及固定 |  | 
R  40  32 | 顶面黑钛钢装饰条 |  | M | 76 |  | 64 |  | 欧松板打底、黑钛钢安装及固定（12-20公分） |  | 
R  41  33 | 天花虚光灯槽 |  | m | 38 |  | 22 |  | 欧松板打底石膏板封面，辅料、人工及机具费。 |  | 
R  42  34 | 天花预埋灯槽 |  | m | 32 |  | 22 |  | 欧松板打底石膏板封面，辅料、人工及机具费。 |  | 
R  43  35 | 30MM优质艺术石膏线 |  | M | 11 |  | 5 |  | 1、普通艺术石膏线、快粘粉粘贴、直钉固定。2、人工及机具费。 |  | 
R  44  36 | 50-60MM优质艺术石膏线 |  | M | 14 |  | 8 |  | 1、普通艺术石膏线、快粘粉粘贴、直钉固定。2、人工及机具费。 |  | 
R  45  37 | 80MM优质艺术石膏线 |  | M | 16 |  | 10 |  | 1、普通艺术石膏线、快粘粉粘贴、直钉固定。2、人工及机具费。 |  | 
R  46  38 | 100MM优质艺术石膏线 |  | M | 18 |  | 10 |  | 1、普通艺术石膏线、快粘粉粘贴、直钉固定。2、人工及机具费。 |  | 
R  47  39 | 钢琴石膏线 |  | M | 93 |  | 36 |  | 石膏线拼接、快粘粉粘贴、直钉固定。2、人工及机具费。 |  | 
R  48  40 | 艺术石膏雕花 |  | 个 | 46 |  | 24 |  | 1、艺术石膏雕花、快粘粉粘贴、直钉固定。2、人工及机具费。 |  | 
R  49  41 | 艺术石膏灯盘（Φ600mm） |  | 个 | 180 |  | 100 |  | 1、艺术石膏雕花、快粘粉粘贴、直钉固定。2、人工及机具费。 |  | 
R  50  42 | 艺术石膏灯盘（Φ1000mm） |  | 个 | 290 |  | 130 |  | 1、艺术石膏雕花、快粘粉粘贴、直钉固定。2、人工及机具费。 |  | 
R  51  43 | 顶面半圆石膏线造型 |  | M2 | 50 |  | 180 |  | 半圆石膏线拼接、快粘粉粘贴、直钉固定。2、人工及机具费。 |  | 
R  52  44 | 订做弧形石膏线 |  | M | 105 |  | 35 |  | 粘粉贴、直钉固定(特殊弧形另计） |  | 
R  53  45 | 艺术石膏线刷漆 |  | M | 4 |  | 6.5 |  | 石膏线或PU角线刷漆 |  | 
R  54  46 | 天花烙黑缝 |  | M | 10 |  | 28 |  | 有色漆，人工及机具费。 |  | 
R  55  47 | 餐厅天花饰面板假梁 |  | M | 120 |  | 155 |  | 欧松板、夹板、饰面板、辅料、人工工资及机具费（防潮、油漆另计）。 |  | 
R  56  48 | 阳台生态木天花基层 |  | M2 | 85 |  | 65 |  | １、木龙骨框架结构，膨胀螺丝固定，夹板封面刷防潮油。２、人工及机具费。 |  | 
R  57  49 | 阳台生态木天花面层 |  | M2 | 110 |  | 55 |  | １、生态木，收口线、辅料。２、人工及机具费。 |  | 
R  58  50 | 客厅及餐厅正铺地砖（300-800MM） |  | M2 | 28 |  | 32 |  | １、强度32.5MPa普通硅酸盐水泥、水泥沙浆铺设等辅料及人工工资。2、地砖、水泥、砂浆厚度超过4CM按找平另计。（地砖业主自购） |  | 
R  59  51 | 客厅及餐厅正铺地砖（800*1600MM） |  | M2 | 28 |  | 81 |  | １、强度32.5MPa普通硅酸盐水泥、水泥沙浆铺设等辅料及人工工资。2、地砖、水泥、砂浆厚度超过4CM按找平另计。（地砖业主自购） |  | 
R  60  52 | 客厅及餐厅正铺地砖（750*1500MM） |  | M2 | 28 |  | 71 |  | １、强度32.5MPa普通硅酸盐水泥、水泥沙浆铺设等辅料及人工工资。2、地砖、水泥、砂浆厚度超过4CM按找平另计。（地砖业主自购） |  | 
R  61  53 | 客厅及餐厅正铺地砖（900*1800MM） |  | M2 | 28 |  | 91 |  | １、强度32.5MPa普通硅酸盐水泥、水泥沙浆铺设等辅料及人工工资。2、地砖、水泥、砂浆厚度超过4CM按找平另计。（地砖业主自购） |  | 
R  62  8 | 客厅及餐厅正铺地砖（600*1200MM） |  | M2 | 28 |  | 48 |  | １、强度32.5MPa普通硅酸盐水泥、水泥沙浆铺设等辅料及人工工资。2、地砖、水泥、砂浆厚度超过4CM按找平另计。（地砖业主自购） |  | 
R  63  54 | 客厅及餐厅菱铺地砖（300-800MM） |  | M2 | 28 |  | 48 |  | １、强度32.5MPa普通硅酸盐水泥、水泥沙浆铺设等辅料及人工工资。2、地砖、水泥、砂浆厚度超过4CM按找平另计。（地砖业主自购） |  | 
R  64  55 | 角花铺贴 |  | 个 | 2 |  | 5 |  | １、含水泥、沙、等辅料及人工工资。 |  | 
R  65  56 | 波导线 |  | M | 14 |  | 20 |  | １、含水泥、沙、勾缝剂等辅料。2、人工及机具费（波导线业主自购）。 |  | 
R  66  57 | 踢脚线 |  | M | 10 |  | 18 |  | 1、强度32.5MPa普通硅酸盐水泥、细纱水泥沙浆铺设等辅料。2、人工及机具费（地脚线业主自购、大理石踢脚线铺贴另加6元） |  | 
R  67  58 | 剔除踢脚线墙面水泥层 |  | M |  |  | 14 |  | 1、贴踢脚线墙面基层剔除，人工及机具费。 |  | 
R  68  59 | 剔除墙面1公分水泥层 |  | M | 18 |  | 18 |  | 1、墙面烙1公分缝，人工及机具费。 |  | 
R  69  60 | 勾缝处理 |  | M2 |  |  | 2.5 |  | 人工、辅料及瓷砖缝清洗 |  | 
R  70  61 | 电视背景墙 |  | M2 | 360 |  | 220 |  | 具体根据设计施工图调整报价 |  | 
R  71  62 | 过道墙面背景弧形造型 |  | 项 | 220 |  | 180 |  | 木龙骨框架结构，膨胀螺丝固定，欧松板封面刷防潮油、人工及机具费。 |  | 
R  72  63 | 电视背景打底贴文化石 |  | M2 | 135 |  | 168 |  | 木龙骨框架结构，膨胀螺丝固定，欧松板封面刷防潮油，辅料及人工工资。（文化砖业主自购） |  | 
R  73  64 | 电视背景木格饰面造型 |  | M2 | 220 |  | 285 |  | 2.5*1.5木格拼接饰面、辅料及人工 |  | 
R  74  65 | 饰面边框220*30 |  | M2 | 122 |  | 70 |  | 30MM*220MM的边框、细木工板框架结构，夹板衬底，外贴3MM饰面板斜拼工艺、人工及机具费 |  | 
R  75  66 | 饰面边框125*60 |  | M | 72 |  | 65 |  | 60MM*125MM的边框、欧松板框架结构，夹板衬底，外贴3MM饰面板斜拼工艺、人工及机具费 |  | 
R  76  67 | 饰面边框100*30 |  | M | 62 |  | 55 |  | 30MM*100MM的边框、欧松板框架结构，夹板衬底，外贴3MM饰面板斜拼工艺、人工及机具费 |  | 
R  77  68 | 饰面边框80*35 |  | M | 52 |  | 45 |  | 35MM*80MM的边框、欧松板框架结构，夹板衬底，外贴3MM饰面板斜拼工艺、人工及机具费 |  | 
R  78  69 | 饰面边框50*30 |  | M | 40 |  | 36 |  | 30MM*50MM的边框、欧松板框架结构，夹板衬底，外贴3MM饰面板斜拼工艺、人工及机具费 |  | 
R  79  70 | 餐厅背景造型隐形门 |  | 樘 | 1200 |  | 450 |  | 门及门套现场制作、安装、固定、18MM木工板压制、双面贴饰面板、实木线收边（不含油漆） |  | 
R  80  71 | 客厅背景装饰层板柜 |  | 项 | 420 |  | 280 |  | 细木工板框架结构，夹板衬底外贴饰面板内藏灯带，灰镜贴饰，人工及机具费 |  | 
R  81  72 | 墙面贴木质线条 |  | M2 | 510 |  | 310 |  | 木龙骨框架结构，膨胀螺丝固定、夹板封面刷防潮油外贴木质线条。油漆另计。 |  | 
R  82  73 | 背景墙面石膏板造型 |  | M2 | 150 |  | 125 |  | １、木龙骨框架结构，夹板衬底外贴石膏板、辅料。２、人工及机具费。 |  | 
R  83  74 | 斜面饰面边框造型 |  | M | 68 |  | 62 |  | 100MM*40MM的边框、欧松板框架结构，夹板衬底，外贴3MM饰面板斜拼工艺、人工及机具费 |  | 
R  84  75 | 20MM木质半圆线条 |  | M | 12 |  | 8 |  | 1、定做木质半圆线条、快粘粉粘贴、直钉固定。2、人工及机具费。 |  | 
R  85  76 | 30MM木质边角线 |  | M | 32 |  | 21 |  | 1、定做木质阴角线、快粘粉粘贴、直钉固定。2、人工及机具费。 |  | 
R  86  77 | 60MM木质边阴角线 |  | M | 46 |  | 30 |  | 1、定做木质阴角线、快粘粉粘贴、直钉固定。2、人工及机具费。 |  | 
R  87  78 | 80MM木质边阴角线 |  | M | 57 |  | 36 |  | 1、定做木质阴角线、快粘粉粘贴、直钉固定。2、人工及机具费。 |  | 
R  88  79 | 100MM木质边阴角线 |  | M | 82 |  | 45 |  | 1、定做木质阴角线、快粘粉粘贴、直钉固定。2、人工及机具费。 |  | 
R  89  80 | 定制弧形木质角线 |  | 项 | 145 |  | 55 |  | 1、定做木质阴角线、快粘粉粘贴、直钉固定。2、人工及机具费。 |  | 
R  90  81 | 50MM半圆形实木立柱 |  | M | 96 |  | 70 |  | 1、定做木质半圆角柱、快粘粉粘贴、直钉固定。2、人工及机具费。 |  | 
R  91  82 | 背景木质雕花（小） |  | 个 | 120 |  | 40 |  | 定制装饰木质雕花、人工及机具费（35MM*40MM） |  | 
R  92  83 | 背景饰面板墙群造型 |  | M2 | 400 |  | 305 |  | １、木龙骨框架结构，膨胀螺丝固定，欧松板衬底外饰面贴饰扫白、实木边线、凹凸造型、辅料。２、人工及机具费。（油漆另计） |  | 
R  93  84 | 背景原墙面贴砖（800*400） |  | M2 | 41 |  | 85 |  | １、含水泥、沙、勾缝剂、背胶等辅料及人工工资。（墙砖业主自购） |  | 
R  94  85 | 背景墙面打底贴墙砖 |  | M2 | 165 |  | 155 |  | 木龙骨框架结构，膨胀螺丝固定，欧松板衬底、玻璃胶、人工及机具费.（墙砖业主自购） |  | 
R  95  86 | 电视背景打底贴文化石 |  | M2 | 135 |  | 108 |  | 木龙骨框架结构，膨胀螺丝固定，细木工板封面刷防潮油，辅料及人工工资。（文化砖业主自购） |  | 
R  96  87 | 餐区酒水柜 |  | M2 | 520 |  | 225 |  | 1、15MM细木工板结构，5MM夹板衬底处内贴面板、面板碰角收口,人工及机具费。 |  | 
R  97  88 | 底柜柜门 |  | M | 205 |  | 90 |  | 1.使用15mm细木工板，9mm夹板做背板，外贴3mm饰面板，同质木线收边。（油漆另计） |  | 
R  98  89 | 凹凸造型装饰 |  | M | 100 |  | 85 |  | 柜门造型、木质线条帖饰、辅料及人工 |  | 
R  99  90 | 硬包造型 |  | M2 | 420 |  | 280 |  | 1、9厘夹板铺底、外装饰布(限价80元/米)罩面边嵌钨钢条、实木线条收边。2、人工及机具费 |  | 
R 100  91 | 造型基层 |  | M2 | 135 |  | 95 |  | 木龙骨框架结构，膨胀螺丝固定，欧松板封面刷防潮油、人工及机具费。（***业主自购） |  | 
R 101  92 | 背景黑钛钢装饰条 |  | M | 38 |  | 32 |  | 欧松板打底、5公分黑钛钢条安装及固定 |  | 
R 102  93 | 背景黑钛钢装饰条 |  | M | 26 |  | 22 |  | 欧松板打底、3公分黑钛钢条安装及固定 |  | 
R 103  94 | 墙面黑钛钢装饰 |  | M2 | 200 |  | 160 |  | 欧松板打底、黑钛钢安装及固定 |  | 
R 104  95 | 背景车边灰镜造型 |  | M2 | 360 |  | 305 |  | 木龙骨框架结构，膨胀螺丝固定，夹板衬底5MM灰镜贴饰（含灰镜磨边）、辅料。人工及机具费。 |  | 
R 105  96 | 饰面板墙面造型 |  | M2 | 180 |  | 125 |  | １、木龙骨框架结构，欧松板衬底外饰面板贴饰、辅料。２、人工及机具费。（油漆另计） |  | 
R 106  97 | 阳台木制地台 |  | M2 | 185 |  | 95 |  | 1、地面基层处理、木龙骨框架结构，15MM细欧松板封面，内刷防潮处理。2、人工及机具费。（高度150MM以内） |  | 
R 107  98 | 墙顶面基层加固 |  | M2 | 2 |  | 4 |  | 德高界面剂、人工及机具费。 |  | 
R 108  99 | 墙面基层处理（鸟巢腻子） |  | M2 | 19 |  | 13 |  | 鸟巢水性嵌缝石膏补顶缝、瑞安健康找平腻子底层、瑞安健康腻子面层、白布、砂纸、牛皮纸、人工及机具费。 |  | 
R 109  100 | 芬琳芬华五合一内墙乳胶漆 |  | M2 | 12 |  | 7 |  | 1、底漆、面漆、人工及机具费。(有色漆每平米另加3元、若要求喷漆另加3元） |  | 
R 110  101 | 30-60MM实木线条油漆 |  | M | 22 |  | 18 |  | 混油及有色漆(如实木线条在天花上须每米另加10元) |  | 
R 111  102 | 木制混油漆 |  | M2 | 80 |  | 85 |  | 1、清油每平方135元。2、如做混油每平米165元。3、如做有色漆每平米186元。（凹凸造型*2） |  | 
R 112  103 | 木制雕花有色油漆 |  | 项 | 45 |  | 85 |  | 1、清油每平方135元。2、如做混油每平米165元。3、如做有色漆每平米186元。（凹凸造型*2） |  | 
R 113  104 | 木格装饰有色漆 |  | M2 | 80 |  | 172 |  | 1、清油每平方135元。2、如做混油每平米165元。3、如做有色漆每平米186元。（凹凸造型*2） |  | 
R 114  105 | 墙面漆护角 |  | 项 | 160 |  | 360 |  | 天花及墙面阳角护角、人工及机具费。 |  | 
R 115  106 | 墙面漆护角 |  | 项 | 260 |  | 580 |  | 天花及墙面阳角护角、人工及机具费。(复式楼) |  | 
R 116  107 | 门廊防潮处理 |  | M | 19 |  | 10 |  | 1、木制作与墙面接触处刷防潮油，中间防潮棉相隔。2、人工工资 |  | 
R 117  108 | 防潮处理 |  | M2 | 25 |  | 10 |  | 1、木制作与墙面接触处刷防潮油，中间防潮棉相隔。2、人工工资 |  | 
R 118  109 | 地面保护 |  | M2 | 12 |  | 5 |  | 广东帝豪装饰专用保护棉、辅料及人工 |  | 
R 119   | 小计 |  |  |  |  |  |  |  |  | 
R 120  二 | 厨房 |  |  |  |  |  |  |  |  | 
R 121  1 | 铺地砖（正贴） |  | M2 | 28 |  | 32 |  | １、强度32.5MPa普通硅酸盐水泥、水泥沙浆铺设等辅料及人工工资。2、地砖、水泥、砂浆厚度超过4CM按找平另计。（地砖业主自购） |  | 
R 122  2 | 墙面贴瓷片 |  | M2 | 28 |  | 40 |  | 强度32.5MPa水泥、水泥沙浆铺设及人工工资。（瓷片业主自购、瓷砖胶粘贴另加15元／M2） |  | 
R 123  3 | 墙面瓷片碰角加工 |  | M | 8 |  | 20 |  | 1、双面瓷片加工内边成直角拼接。2、人工及机具费。 |  | 
R 124  4 | 勾缝处理 |  | M2 |  |  | 2.5 |  | 人工及瓷砖缝清洗 |  | 
R 125  5 | 地面防水处理 |  | M2 | 45 |  | 20 |  | 1、德高防水（柔性）、高度300MM。2、人工及机具费 |  | 
R 126  6 | 厨柜 |  | M | 300 |  | 260 |  | 1、含水泥、沙、钢筋等辅料。2、人工及机具费。（大理石台面、瓷片及五金业主自购） |  | 
R 127  7 | 地面保护 |  | M2 | 12 |  | 5 |  | 广东帝豪装饰专用保护棉、辅料及人工 |  | 
R 128   | 小计 |  |  |  |  |  |  |  |  | 
R 129  三 | 公卫 |  |  |  |  |  |  |  |  | 
R 130  1 | 铺地砖（正贴） |  | M2 | 28 |  | 32 |  | １、强度32.5MPa普通硅酸盐水泥、水泥沙浆铺设等辅料及人工工资。2、地砖、水泥、砂浆厚度超过4CM按找平另计。（地砖业主自购） |  | 
R 131  2 | 墙面贴瓷片 |  | M2 | 28 |  | 40 |  | 强度32.5MPa水泥、水泥沙浆铺设及人工工资。（瓷片业主自购、瓷砖胶粘贴另加15元／M2） |  | 
R 132  3 | 淋浴间地面贴大理石 |  | 项 | 78 |  | 45 |  | １、强度32.5MPa普通硅酸盐水泥、水泥沙浆铺设等辅料及人工工资。2、石材、水泥、砂浆厚度超过4CM按找平另计。（大理石业主自购） |  | 
R 133  4 | 淋浴间地面大理石四周水槽 |  | M | 25 |  | 18 |  | １、强度32.5MPa普通硅酸盐水泥、水泥沙浆铺设等辅料及人工工资。（大理石业主自购） |  | 
R 134  5 | 淋浴基石安装 |  | M | 65 |  | 100 |  | １、含水泥、沙、砖、白水泥等辅料。2、人工及机具费（大理石业主自购）。 |  | 
R 135  6 | 墙面瓷砖刷背胶 |  | M2 | 6 |  | 9 |  | 瓷砖背面刷瓷砖背胶，人工及机具费。 |  | 
R 136  7 | 墙面瓷片碰角加工 |  | M | 8 |  | 20 |  | 1、双面瓷片加工内边成直角拼接。2、人工及机具费。 |  | 
R 137  8 | 勾缝处理 |  | M2 |  |  | 2.5 |  | 人工及瓷砖缝清洗 |  | 
R 138  9 | 水泥地台 |  | m2 | 95 |  | 125 |  | 人工、水泥、砖、混泥土结构 |  | 
R 139  10 | 地面防水处理 |  | M2 | 45 |  | 20 |  | 德高防水（柔性）,人工及机具费 |  | 
R 140  11 | 地面防水保护层 |  | M2 | 22 |  | 12 |  | 水泥、沙对已完工防水工程表面覆盖保护，厚度3-5公分 |  | 
R 141  12 | 墙面防水层 |  | M2 | 45 |  | 20 |  | 1、墙面清理干净。2、德高防水（钢性）。3、人工及机具费 |  | 
R 142  13 | 地面保护 |  | M2 | 12 |  | 5 |  | 广东帝豪装饰专用保护棉、辅料及人工 |  | 
R 143   | 小计 |  |  |  |  |  |  |  |  | 
R 144  四 | 主卧、衣帽间 |  |  |  |  |  |  |  |  | 
R 145  1 | 地面找平 |  | M2 | 26 |  | 20 |  | 1、原地面清理、强度325MPa普通硅酸盐水、中沙水泥沙浆抹平、原地面水平放线、凸筋处理。2、找平厚度如超过4CM按双面计算、人工及机具费 |  | 
R 146  1 | 自流平找平处理 |  | M2 | 32 |  | 24 |  | 1、原地面清理、涂水性界面剂、自流平水泥搅拌、人工打磨、吸尘。2、找平厚度如超过3公分按双面计算、人工及机具费 |  | 
R 147  2 | 衣柜（无门） |  | M2 | 420 |  | 240 |  | 18mm实木板做主体结构，9mm实木板做背板，专用收边条收边，人工及机具费，厚度600MM(五金自购) |  | 
R 148  3 | 柜内PU线条条收边 |  | m | 10 |  | 7 |  | 专业订做PU线条凹条收边。 | 400 | 130
R 149  4 | 夹板墙 |  | M2 | 155 |  | 105 |  | 1、轻钢龙骨或木龙骨框架结构，夹板衬底，纸面石膏板封面、中间夹隔音棉。2、人工及机具费。3、乳胶漆另计。 |  | 
R 150  5 | 60MM实木边阴角线 |  | M | 46 |  | 30 |  | 1、定做实木阴角线、快粘粉粘贴、直钉固定。2、人工及机具费。 |  | 
R 151  6 | 飘窗大理石铺贴 |  | M | 65 |  | 85 |  | 1、含水泥、沙等辅料。2、人工及机具费（大理石业主自购） |  | 
R 152  7 | 墙顶面基层加固 |  | M2 | 2 |  | 4 |  | 德高界面剂、人工及机具费。 |  | 
R 153  9 | 墙面基层处理（鸟巢腻子） |  | M2 | 19 |  | 13 |  | 鸟巢水性嵌缝石膏补顶缝、瑞安健康找平腻子底层、瑞安健康腻子面层、白布、砂纸、牛皮纸、人工及机具费。 |  | 
R 154  10 | 芬琳芬华五合一内墙乳胶漆 |  | M2 | 12 |  | 7 |  | 1、底漆、面漆、人工及机具费。(有色漆每平米另加3元、若要求喷漆另加3元） |  | 
R 155  11 | 60MM实木线条油漆 |  | M | 18 |  | 15 |  | 混油及有色漆 |  | 
R 156  12 | 木制混油漆 |  | M2 | 80 |  | 85 |  | 1、清油每平方135元。2、如做混油每平米165元。3、如做有色漆每平米186元。（凹凸造型*2） |  | 
R 157  13 | 防潮处理 |  | M2 | 25 |  | 10 |  | 1、木制作与墙面接触处刷防潮油，中间防潮棉相隔。2、人工工资 |  | 
R 158   | 小计 |  |  |  |  |  |  |  |  | 
R 159  五 | 主卫 |  |  |  |  |  |  |  |  | 
R 160  1 | 铺地砖（正贴） |  | M2 | 28 |  | 32 |  | １、强度32.5MPa普通硅酸盐水泥、水泥沙浆铺设等辅料及人工工资。2、地砖、水泥、砂浆厚度超过4CM按找平另计。（地砖业主自购） |  | 
R 161  2 | 墙面贴瓷片 |  | M2 | 28 |  | 40 |  | 强度32.5MPa水泥、水泥沙浆铺设及人工工资。（瓷片业主自购、瓷砖胶粘贴另加15元／M2） |  | 
R 162  3 | 墙面瓷片碰角加工 |  | M | 8 |  | 20 |  | 1、双面瓷片加工内边成直角拼接。2、人工及机具费。(如门套内需碰角另计) |  | 
R 163  4 | 防潮石膏板天花 |  | M2 | 155 |  | 75 |  | 轻钢龙骨吊件或木龙骨框架结构，膨胀螺丝固定、防潮硅酸钙封面、涂料另计、人工及机具费。 |  | 
R 164  5 | 顶面基层处理（鸟巢防水腻子） |  | M2 | 29 |  | 13 |  | 防水嵌缝石膏补顶缝、外墙防水找平腻子底层、外墙防水腻子面层、白布、砂纸、牛皮纸、人工及机具费。 |  | 
R 165  6 | 防潮乳胶漆 |  | M2 | 45 |  | 7 |  | 1、顶面刷防水乳胶漆、人工及机具费。 |  | 
R 166  7 | 砌洗手台 |  | M | 450 |  | 350 |  | 1、含水泥、沙、砖等辅料及人工工资。2、木龙骨框架结构。（石材、五金业主自购） |  | 
R 167  8 | 洗手台钢架基础 |  | 项 | 280 |  | 180 |  | 1、含方钢框架结构等辅料及人工工资。（石材、五金业主自购） |  | 
R 168  9 | 勾缝处理 |  | M2 |  |  | 2.5 |  | 人工及瓷砖缝清洗 |  | 
R 169  10 | 地面防水处理 |  | M2 | 45 |  | 20 |  | 德高防水（柔性）,人工及机具费 |  | 
R 170  11 | 地面防水保护层 |  | M2 | 22 |  | 12 |  | 水泥、沙对已完工防水工程表面覆盖保护，厚度3-5公分 |  | 
R 171  12 | 墙面防水层 |  | M2 | 45 |  | 20 |  | 1、墙面清理干净。2、德高防水（钢性）。3、人工及机具费 |  | 
R 172  13 | 地面保护 |  | M2 | 12 |  | 5 |  | 广东帝豪装饰专用保护棉、辅料及人工 |  | 
R 173   | 小计 |  |  |  |  |  |  |  |  | 
R 174  六 | 次卧一 |  |  |  |  |  |  |  |  | 
